year,flag_country_iso3c,flag_country_name,eez_sovereign_iso3c,eez_sovereign_name,fao_fishing_id,fao_major_fishing_area,length_category,nom_active_fishing_days,eff_active_fishing_days,sector
2012,FSM,Micronesia (Federated States of),FSM,Micronesia (Federated States of),71,"Pacific, Western Central",12-24m,1291321.3066878,6379622.02487767,Artisanal
2012,FSM,Micronesia (Federated States of),FSM,Micronesia (Federated States of),71,"Pacific, Western Central",6-12m,881383.92993,4354374.31616243,Artisanal
2012,FSM,Micronesia (Federated States of),FSM,Micronesia (Federated States of),71,"Pacific, Western Central",Less than 6m,7799474.75298,38532393.6489637,Artisanal
2012,GAB,Gabon,GAB,Gabon,34,"Atlantic, Eastern Central",12-24m,1189221.3444,5875209.09156896,Artisanal
2012,GAB,Gabon,GAB,Gabon,34,"Atlantic, Eastern Central",6-12m,9562301.13968999,47241431.4263522,Artisanal
2012,GAB,Gabon,GAB,Gabon,34,"Atlantic, Eastern Central",Less than 6m,413329.45518,2042005.87579597,Artisanal
2012,GBR,United Kingdom,GBR,United Kingdom,27,"Atlantic, Northeast",6-12m,35858264.8962483,177153567.683918,Artisanal
2012,GBR,United Kingdom,GBR,United Kingdom,27,"Atlantic, Northeast",Less than 6m,4877990.22254164,24099140.7016165,Artisanal
2012,GEO,Georgia,GEO,Georgia,37,Mediterranean and Black Sea,6-12m,857044.425767162,4234127.83991546,Artisanal
2012,GEO,Georgia,GEO,Georgia,37,Mediterranean and Black Sea,Less than 6m,292006.855878476,1442625.75048488,Artisanal
2012,GHA,Ghana,GHA,Ghana,34,"Atlantic, Eastern Central",12-24m,159959601.358038,790261719.240035,Artisanal
2012,GHA,Ghana,GHA,Ghana,34,"Atlantic, Eastern Central",24-50m,7620064.5732,37646038.6198289,Artisanal
2012,GHA,Ghana,GHA,Ghana,34,"Atlantic, Eastern Central",6-12m,5852619.51789001,28914182.8499133,Artisanal
2012,GHA,Ghana,GHA,Ghana,34,"Atlantic, Eastern Central",Less than 6m,785506.662786,3880703.88109013,Artisanal
